institution_name,institution_name_english,pretty_url,country,part_of,institution_type,institution_website,institution_wikidata,first_open_access_instance,first_open_access_instance_citation,open_access_scope,open_access_policy,tk_tce_policy,rights_statement_compliance,rights_statement_metadata,rights_statement_metadata_url,admission_policy,institution_api,institution_github,open_data_volume_total,open_data_volume_name0,open_data_volume_number0,open_data_volume_url0,open_data_volume_name1,open_data_volume_number1,open_data_volume_url1,open_data_volume_name2,open_data_volume_number2,open_data_volume_url2,open_data_volume_name3,open_data_volume_number3,open_data_volume_url3,open_data_volume_name4,open_data_volume_number4,open_data_volume_url4,open_data_volume_name5,open_data_volume_number5,open_data_volume_url5
Amgueddfa Cymru,Museum Wales,https://survey.glamelab.org/institutions/amgueddfa-cymru,United Kingdom,,Museum,https://museum.wales/,https://www.wikidata.org/wiki/Q2046319,2025-10-01,https://www.museumsassociation.org/museums-journal/news/2025/10/new-digital-image-library-for-amgueddfa-cymru-museum-wales/,All eligible data,https://images.museumwales.ac.uk/terms?WINID=1760459114849,,Public domain,,,Free,,,0,,,,,,,,,,,,,,,,,,
Biodiversity Heritage Library,Biodiversity Heritage Library,https://survey.glamelab.org/institutions/biodiversity-heritage-library,International,,Aggregator,https://www.biodiversitylibrary.org,https://www.wikidata.org/wiki/Q172266,,,Some eligible data,,,Public domain,None,,None,,https://github.com/ropensci/rbhl,624158,Flickr,319661,https://www.flickr.com/photos/biodivlibrary/albums,Wikimedia Commons,304497,https://commons.wikimedia.org/wiki/Category:Files_from_the_Biodiversity_Heritage_Library,,,,,,,,,,,,
Geldersch Landschap & Kasteelen,Geldersch Landschap & Kasteelen,https://survey.glamelab.org/institutions/geldersch-landschap-and-kasteelen,Netherlands,,Visitor attraction,https://www.glk.nl/,https://www.wikidata.org/wiki/Q98904445,,,Some eligible data,,,Public domain,None,,None,,,11790,Europeana,5699,https://www.europeana.eu/search?page=1&qf=COUNTRY%3A%22Netherlands%22&qf=DATA_PROVIDER%3A%22Geldersch%20Landschap%20%5C%26%20Kasteelen%22&reusability=open,CollectieGelderland.nl,6091,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_participant-Geldersch%20Landschap%20%26%20Kasteelen,,,,,,,,,,,,
Kasteel Huis Bergh,Castle Huis Bergh,https://survey.glamelab.org/institutions/kasteel-huis-bergh,Netherlands,,Visitor attraction,https://huisbergh.nl,https://www.wikidata.org/wiki/Q99370641,,,Some eligible data,,,Public domain,None,,None,,,3104,Europeana,1552,https://www.europeana.eu/collections/organisation/1482250000004506282-castle-huis-bergh?page=1&reusability=open,CollectieGelderland.nl,1552,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Kasteel%20Huis%20Bergh,,,,,,,,,,,,
Museum Het Pakhuis,Museum Het Pakhuis,https://survey.glamelab.org/institutions/museum-het-pakhuis,Netherlands,,Museum,https://hetpakhuisermelo.nl/,https://www.wikidata.org/wiki/Q56459673,,,Some eligible data,,,Open,None,,Paid,,,501,Europeana,236,https://www.europeana.eu/collections/organisation/1482250000004510511-museum-het-pakhuis?page=1&reusability=open,CollectieGelderland.nl,265,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Museum%20Het%20Pakhuis,,,,,,,,,,,,
Museum Vliegbasis Deelen,Museum Vliegbasis Deelen,https://survey.glamelab.org/institutions/museum-vliegbasis-deelen,Netherlands,,Museum,https://www.museumdeelen.nl/,https://www.wikidata.org/wiki/Q98893863,,,Some eligible data,,,Open,None,,Paid,,,8382,Own website,7729,https://www.archief.museumdeelen.nl/?mode=gallery&view=horizontal&sort=random%7B1643818851706%7D%20asc,Europeana,235,https://www.europeana.eu/search?page=1&qf=DATA_PROVIDER%3A%22Deelen%20Airbase%20Museum%22&query=deelen&reusability=open&view=grid,CollectieGelderland.nl,418,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Museum%20Vliegbasis%20Deelen,,,,,,,,,
Nationaal Orgelmuseum,National Organ Museum,https://survey.glamelab.org/institutions/nationaal-orgelmuseum,Netherlands,,Museum,https://www.nationaalorgelmuseum.nl,https://www.wikidata.org/wiki/Q28151370,,,Some eligible data,,,Public domain,None,,Paid,,,5822,Europeana,2707,https://www.europeana.eu/en/search?page=1&qf=COUNTRY%3A%22Netherlands%22&qf=DATA_PROVIDER%3A%22National%20Organ%20Museum%22&query=&reusability=open,CollectieGelderland.nl,3115,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Nationaal%20Orgelmuseum,,,,,,,,,,,,
Openluchtmuseum,Open Air Museum,https://survey.glamelab.org/institutions/openluchtmuseum,Netherlands,,Museum,https://openluchtmuseum.nl,https://www.wikidata.org/wiki/Q674449,,,Some eligible data,,,Open,None,,Paid,,,53921,Europeana,10059,https://www.europeana.eu/collections/organisation/1482250000004511855-dutch-open-air-museum?page=1&reusability=open,CollectieGelderland.nl,43862,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-Nederlands%20Openluchtmuseum,,,,,,,,,,,,
NOC*NSF,NOC*NSF,https://survey.glamelab.org/institutions/noc-nsf,Netherlands,,Other,https://www.nocnsf.nl,https://www.wikidata.org/wiki/Q1650156,,,Some eligible data,,,Public domain,None,,None,,,6990,Europeana,2738,https://www.europeana.eu/search?query=&qf=COUNTRY%3A%22Netherlands%22&qf=DATA_PROVIDER%3A%22The%20Dutch%20Olympic%20Committee%2C%20Dutch%20Sports%20Federation%22&reusability=open,CollectieGelderland.nl,4252,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_has_media-Ja&filter=search_s_participant-NOC*NSF,,,,,,,,,,,,
Regionaal Archief Nijmegen,Regional Archive Nijmegen,https://survey.glamelab.org/institutions/regionaal-archief-nijmegen,Netherlands,,Archive,https://regionaalarchiefnijmegen.nl,https://www.wikidata.org/wiki/Q15881190,,,Some eligible data,,,Open,None,,None,,,117843,Europeana,47924,https://www.europeana.eu/collections/organisation/1482250000004513279-regional-archive-nijmegen?&reusability=open,CollectieGelderland.nl,69919,https://www.collectiegelderland.nl/zoeken?term=&page=1&filter=search_s_participant-Regionaal%20Archief%20Nijmegen,,,,,,,,,,,,
