institution_name,institution_name_english,pretty_url,country,part_of,institution_type,institution_website,institution_wikidata,first_open_access_instance,first_open_access_instance_citation,open_access_scope,open_access_policy,tk_tce_policy,rights_statement_compliance,rights_statement_metadata,rights_statement_metadata_url,admission_policy,institution_api,institution_github,open_data_volume_name0,open_data_volume_number0,open_data_volume_url0,open_data_volume_name1,open_data_volume_number1,open_data_volume_url1,open_data_volume_name2,open_data_volume_number2,open_data_volume_url2,open_data_volume_name3,open_data_volume_number3,open_data_volume_url3,open_data_volume_name4,open_data_volume_number4,open_data_volume_url4,open_data_volume_name5,open_data_volume_number5,open_data_volume_url5
Biblioteca Nacional Aruba,National Library of Aruba,https://survey.glamelab.org/institutions/biblioteca-nacional-aruba,Aruba,,Library,https://www.bibliotecanacional.aw,https://www.wikidata.org/wiki/Q631808,2019,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,212,https://commons.wikimedia.org/wiki/Category:Media_contributed_by_Biblioteca_Nacional_Aruba,,,,,,,,,,,,,,,
Museo Nacional de Bellas Artes,National Museum of Fine Arts,https://survey.glamelab.org/institutions/museo-nacional-de-bellas-artes,Argentina,,Museum,https://www.bellasartes.gob.ar,https://www.wikidata.org/wiki/Q1848918,2015,,Some eligible data,,,Public domain,None,,Free,,,Wikimedia Commons,885,https://commons.wikimedia.org/wiki/Category:Files_provided_by_the_Museo_Nacional_de_Bellas_Artes,,,,,,,,,,,,,,,
Archivo General de la Nación Argentina,General Archive of the Argentine Nation,https://survey.glamelab.org/institutions/archivo-general-de-la-nacion-argentina,Argentina,,Archive,https://www.argentina.gob.ar/interior/archivo-general-de-la-nacion,https://www.wikidata.org/wiki/Q2860529,2015,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,"6,315",https://commons.wikimedia.org/wiki/Category:Files_provided_by_Archivo_General_de_la_Naci%C3%B3n_Argentina,,,,,,,,,,,,,,,
Museo Casa Rosada,Casa Rosada Museum,https://survey.glamelab.org/institutions/museo-casa-rosada,Argentina,,Museum,https://www.casarosada.gob.ar/la-casa-rosada/museo,https://www.wikidata.org/wiki/Q6034386,2012,,Some eligible data,,,Open,None,,Free,,,Wikimedia Commons,126,https://commons.wikimedia.org/wiki/Category:Files_provided_by_the_Museo_del_Bicentenario,,,,,,,,,,,,,,,
ABC Open Archives,ABC Open Archives,https://survey.glamelab.org/institutions/abc-open-archives,Australia,,Archive,https://www.abc.net.au/archives/openarchives.htm,https://www.wikidata.org/wiki/Q781365,2012,,Some eligible data,,,Open,None,,None,,,Wikimedia Commons,29,https://commons.wikimedia.org/wiki/Category:Files_from_the_Australian_Broadcasting_Corporation,,,,,,,,,,,,,,,
Biblioteca Feminaria,Feminaria Library,https://survey.glamelab.org/institutions/biblioteca-feminaria,Argentina,,Library,https://www.tierra-violeta.com.ar,https://www.wikidata.org/wiki/Q18592746,2015,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,57,https://commons.wikimedia.org/wiki/Category:Files_from_Biblioteca_Feminaria,,,,,,,,,,,,,,,
Archivo Histórico de la Provincia de Buenos Aires,Historical Archive of the Province of Buenos Aires,https://survey.glamelab.org/institutions/archivo-historico-de-la-provincia-de-buenos-aires,Argentina,,Archive,https://www.amigosarchivolevene.com.ar,https://www.wikidata.org/wiki/Q18581036,2014,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,"6,190",https://commons.wikimedia.org/wiki/Category:Files_from_the_Archivo_Hist%C3%B3rico_de_la_Provincia_de_Buenos_Aires,,,,,,,,,,,,,,,
Academia Argentina de Letras,Argentine Academy of Letters,https://survey.glamelab.org/institutions/academia-argentina-de-letras,Argentina,,Library,https://www.aal.edu.ar,https://www.wikidata.org/wiki/Q2057876,2015,,Some eligible data,,,Public domain,None,,None,,,Wikimedia Commons,"1,681",https://commons.wikimedia.org/wiki/Category:Files_from_Academia_Argentina_de_Letras,,,,,,,,,,,,,,,
Libraries & Archives NT,Libraries & Archives NT,https://survey.glamelab.org/institutions/libraries-and-archives-nt,Australia,,Library,https://lant.nt.gov.au/,https://www.wikidata.org/wiki/Q7059036,null,,Some eligible data,,,Open,None,,None,,,Trove,"39,907",https://trove.nla.gov.au/search/category/images?keyword=nuc%3AXNLS&l-rights=Free,,,,,,,,,,,,,,,
National Library of Australia,National Library of Australia,https://survey.glamelab.org/institutions/national-library-of-australia,Australia,,Library,https://www.nla.gov.au,https://www.wikidata.org/wiki/Q623578,null,,Some eligible data,https://www.nla.gov.au/about-this-site/copyright,https://www.nla.gov.au/copying-and-re-using-works-with-indigenous-cultural-content,Public domain,None,,None,,https://github.com/nla,Own website,0,https://www.nla.gov.au/collections,Flickr Commons,"1,222",https://www.flickr.com/photos/national_library_of_australia_commons/,,,,,,,,,,,,
Libraries Tasmania,Libraries Tasmania,https://survey.glamelab.org/institutions/libraries-tasmania,Australia,,Library,https://libraries.tas.gov.au,https://www.wikidata.org/wiki/Q6458744,null,,Some eligible data,,,Disclaimer,None,,None,,,Trove,17,https://trove.nla.gov.au/search/category/images?keyword=nuc%3ATSL&l-rights=Free&l-rights=Free%2FRS%20NKC,,,,,,,,,,,,,,,
